Rank,Name,Team,Position,Week,Opponent,RushingAttempts,RushingYards,RushingYardsPerAttempt,RushingTouchdowns,ReceivingTargets,Receptions,ReceivingYards,ReceivingTouchdowns,Fumbles,FumblesLost,FantasyPointsPerGameDraftKings,FantasyPointsDraftKings
782,Kyle Juszczyk,SF,FB,12,LAR,2,8,4,0,2,2,24,0,1,0,5.2,5.2
782,Jerick McKinnon,SF,RB,12,LAR,3,21,7,0,3,2,11,0,0,0,5.2,5.2
782,Le'Veon Bell,KC,RB,12,TB,5,22,4.4,0,2,2,10,0,0,0,5.2,5.2
782,Tony Pollard,DAL,RB,5,NYG,6,30,5,0,3,2,2,0,0,0,5.2,5.2
782,Tony Pollard,DAL,RB,1,LAR,2,10,5,0,3,2,22,0,0,0,5.2,5.2
782,Patrick Laird,MIA,RB,15,NE,2,20,10,0,2,2,12,0,0,0,5.2,5.2
782,DeeJay Dallas,SEA,RB,11,ARI,1,13,13,0,2,2,19,0,0,0,5.2,5.2
782,Jalen Richard,LV,RB,3,NE,1,14,14,0,3,3,8,0,0,0,5.2,5.2
782,Malcolm Brown,LAR,RB,6,SF,2,4,2,0,4,3,18,0,0,0,5.2,5.2
782,C.J. Ham,MIN,FB,14,TB,1,0,0,0,3,3,22,0,0,0,5.2,5.2
782,Darrel Williams,KC,RB,11,LV,0,0,0,0,3,3,22,0,0,0,5.2,5.2
793,Samaje Perine,CIN,RB,17,BAL,9,51,5.7,0,0,0,0,0,0,0,5.1,5.1
793,Kareem Hunt,CLE,RB,17,PIT,10,37,3.7,0,1,1,4,0,0,0,5.1,5.1
793,Kenyan Drake,ARI,RB,7,SEA,14,34,2.4,0,2,1,7,0,0,0,5.1,5.1
793,Chris Carson,SEA,RB,7,ARI,5,34,6.8,0,2,1,7,0,0,0,5.1,5.1
793,DeeJay Dallas,SEA,RB,10,LAR,2,8,4,0,3,2,23,0,0,0,5.1,5.1
793,Phillip Lindsay,DEN,RB,14,CAR,11,24,2.2,0,2,2,7,0,0,0,5.1,5.1
793,Todd Gurley II,ATL,RB,14,LAC,6,19,3.2,0,3,2,12,0,0,0,5.1,5.1
793,Jonathan Taylor,IND,RB,8,DET,11,22,2,0,2,2,9,0,0,0,5.1,5.1
801,Royce Freeman,DEN,RB,12,NO,8,50,6.2,0,0,0,0,0,0,0,5,5
801,Leonard Fournette,TB,RB,10,CAR,8,19,2.4,0,3,2,11,0,0,0,5,5
801,Nyheim Hines,IND,RB,5,CLE,3,8,2.7,0,4,2,22,0,0,0,5,5
801,Darrel Williams,KC,RB,1,HOU,7,23,3.3,0,2,2,7,0,0,0,5,5
801,Josh Adams,NYJ,RB,14,SEA,6,27,4.5,0,2,2,3,0,0,0,5,5
801,Leonard Fournette,TB,RB,12,KC,3,10,3.3,0,3,3,10,0,0,0,5,5
807,Jeremy McNichols,TEN,RB,8,CIN,4,49,12.2,0,1,0,0,0,0,0,4.9,4.9
807,Clyde Edwards-Helaire,KC,RB,12,TB,11,37,3.4,0,1,1,2,0,0,0,4.9,4.9
807,Matt Breida,MIA,RB,2,BUF,7,37,5.3,0,2,1,2,0,1,0,4.9,4.9
807,Darrel Williams,KC,RB,5,LV,1,4,4,0,5,1,15,0,0,0,4.9,4.9
807,Le'Veon Bell,KC,RB,16,ATL,7,30,4.3,0,3,1,9,0,0,0,4.9,4.9
807,Carlos Hyde,SEA,RB,12,PHI,15,22,1.5,0,3,2,7,0,0,0,4.9,4.9
807,Giovani Bernard,CIN,RB,13,MIA,12,30,2.5,0,2,2,-1,0,0,0,4.9,4.9
807,Mark Ingram II,BAL,RB,10,NE,5,5,1,0,2,2,24,0,0,0,4.9,4.9
807,J.K. Dobbins,BAL,RB,6,PHI,9,28,3.1,0,4,2,1,0,0,0,4.9,4.9
807,Travis Homer,SEA,RB,10,LAR,0,0,0,0,3,3,19,0,0,0,4.9,4.9
807,Devontae Booker,LV,RB,14,IND,4,8,2,0,3,3,11,0,0,0,4.9,4.9
807,Justin Jackson,LAC,RB,14,ATL,3,9,3,0,3,3,10,0,0,0,4.9,4.9
