Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
257,Nick Chubb,CLE,RB,11,PHI,15,12,7000,14.29
258,D'Andre Swift,DET,RB,14,GB,14,30,6500,14.24
259,Antonio Gibson,WAS,RB,9,NYG,18,18,5800,14.2
260,Jeff Wilson Jr.,SF,RB,17,SEA,21,16,6000,14.19
260,David Johnson,HOU,RB,1,KC,11,27,6000,14.19
262,James Conner,PIT,RB,8,BAL,6,4,6400,14.18
262,Ezekiel Elliott,DAL,RB,13,BAL,3,8,6500,14.18
264,D'Andre Swift,DET,RB,7,ATL,32,15,5400,14.16
265,Nick Chubb,CLE,RB,10,HOU,31,30,6800,14.15
266,Todd Gurley II,ATL,RB,3,CHI,3,12,5800,14.13
266,J.D. McKissic,WAS,RB,14,SF,11,7,4900,14.13
268,Kareem Hunt,CLE,RB,12,JAX,31,25,5600,14.12
268,Jerick McKinnon,SF,RB,7,NE,9,5,5800,14.12
270,David Montgomery,CHI,RB,9,TEN,25,24,5700,14.09
271,Todd Gurley II,ATL,RB,1,SEA,19,20,6100,14.08
271,Mike Davis,CAR,RB,16,WAS,3,6,6500,14.08
273,Ronald Jones,TB,RB,2,CAR,25,31,5200,14.06
273,David Montgomery,CHI,RB,4,IND,1,7,5500,14.06
273,Antonio Gibson,WAS,RB,6,NYG,12,20,5500,14.06
273,Giovani Bernard,CIN,RB,10,PIT,7,5,5400,14.06
277,Antonio Gibson,WAS,RB,5,LAR,7,16,5000,14.03
278,Chris Carson,SEA,RB,2,NE,1,14,6400,13.95
279,Kenyan Drake,ARI,RB,5,NYJ,19,25,5700,13.92
279,Giovani Bernard,CIN,RB,11,WAS,9,14,5500,13.92
281,Duke Johnson,HOU,RB,11,NE,10,20,5400,13.88
282,Antonio Gibson,WAS,RB,10,DET,25,32,5600,13.85
283,Kareem Hunt,CLE,RB,4,DAL,29,9,6200,13.79
283,Kareem Hunt,CLE,RB,3,WAS,13,3,6100,13.79
285,Boston Scott,PHI,RB,7,NYG,15,22,5600,13.76
286,Kareem Hunt,CLE,RB,2,CIN,6,18,5600,13.75
287,Kenyan Drake,ARI,RB,7,SEA,29,9,4800,13.74
288,Devin Singletary,BUF,RB,6,KC,12,25,5700,13.72
288,Leonard Fournette,TB,RB,10,CAR,12,28,5500,13.72
290,Kareem Hunt,CLE,RB,10,HOU,31,30,6700,13.71
291,Todd Gurley II,ATL,RB,2,DAL,12,26,6100,13.7
292,Raheem Mostert,SF,RB,2,NYJ,23,10,6400,13.69
293,Kalen Ballage,LAC,RB,11,NYJ,26,25,5600,13.66
294,Antonio Gibson,WAS,RB,16,CAR,19,23,6600,13.62
294,DeeJay Dallas,SEA,RB,9,BUF,15,19,5000,13.62
294,Myles Gaskin,MIA,RB,4,SEA,31,6,5000,13.62
297,Alexander Mattison,MIN,RB,17,DET,32,31,6100,13.6
297,Jerick McKinnon,SF,RB,3,NYG,10,11,4900,13.6
299,Antonio Gibson,WAS,RB,11,CIN,25,16,5800,13.57
300,Todd Gurley II,ATL,RB,4,GB,23,30,5500,13.54
301,Leonard Fournette,TB,RB,15,ATL,26,5,4500,13.51
302,Devin Singletary,BUF,RB,4,LV,20,32,5900,13.5
303,Raheem Mostert,SF,RB,13,BUF,20,25,6200,13.49
304,Devontae Booker,LV,RB,13,NYJ,27,16,5500,13.48
304,Kareem Hunt,CLE,RB,11,PHI,15,12,6700,13.48
306,Nick Chubb,CLE,RB,1,BAL,3,8,6500,13.47
306,Kenyan Drake,ARI,RB,15,PHI,17,12,5500,13.47
306,Duke Johnson,HOU,RB,12,DET,26,32,5700,13.47
309,Giovani Bernard,CIN,RB,12,NYG,14,24,5700,13.46
310,Josh Jacobs,LV,RB,14,IND,5,15,6300,13.43
310,Chase Edmonds,ARI,RB,10,BUF,19,21,6300,13.43
312,Raheem Mostert,SF,RB,5,MIA,21,23,6100,13.37
313,Le'Veon Bell,KC,RB,16,ATL,26,5,5800,13.33
314,Mike Davis,CAR,RB,3,LAC,9,1,5100,13.27
315,Leonard Fournette,TB,RB,3,DEN,17,8,6200,13.26
316,Devin Singletary,BUF,RB,7,NYJ,20,26,5800,13.24
316,Kareem Hunt,CLE,RB,16,NYJ,30,11,5900,13.24
318,Clyde Edwards-Helaire,KC,RB,12,TB,9,3,6400,13.21
319,David Montgomery,CHI,RB,12,GB,16,30,5300,13.19
320,Wayne Gallman,NYG,RB,14,ARI,17,21,5700,13.18
320,Jonathan Taylor,IND,RB,14,LV,24,29,5800,13.18
322,Kenyan Drake,ARI,RB,12,NE,12,14,5400,13.17
323,Justin Jackson,LAC,RB,7,JAX,27,28,4900,13.16
324,Melvin Gordon III,DEN,RB,8,LAC,19,13,5600,13.14
325,Ronald Jones,TB,RB,17,ATL,24,4,5900,13.12
326,Giovani Bernard,CIN,RB,16,HOU,29,31,4800,13.11
327,David Montgomery,CHI,RB,8,NO,24,8,5900,13.1
327,J.D. McKissic,WAS,RB,17,PHI,23,13,null,13.1
329,J.K. Dobbins,BAL,RB,15,JAX,32,29,5900,13.08
330,Devonta Freeman,NYG,RB,6,WAS,18,16,4900,13.07
331,Myles Gaskin,MIA,RB,16,LV,27,30,5300,13.06
332,Le'Veon Bell,NYJ,RB,5,ARI,13,27,5100,13.05
332,Nyheim Hines,IND,RB,13,HOU,28,31,5300,13.05
334,Melvin Gordon III,DEN,RB,7,KC,8,18,5500,13.04
335,James Conner,PIT,RB,14,BUF,20,24,6300,13.03
336,Melvin Gordon III,DEN,RB,9,ATL,28,11,5300,13.01
337,Melvin Gordon III,DEN,RB,14,CAR,18,25,5200,12.99
337,Melvin Gordon III,DEN,RB,15,BUF,18,20,5200,12.99
339,J.D. McKissic,WAS,RB,15,SEA,24,19,5700,12.98
340,J.D. McKissic,WAS,RB,16,CAR,19,23,6400,12.97
341,Ronald Jones,TB,RB,8,NYG,17,19,5700,12.96
341,David Johnson,HOU,RB,3,PIT,7,4,5400,12.96
343,Clyde Edwards-Helaire,KC,RB,11,LV,20,28,6300,12.94
344,Duke Johnson,HOU,RB,14,CHI,13,10,4800,12.93
345,Devin Singletary,BUF,RB,2,MIA,7,19,5200,12.88
346,Mark Ingram II,BAL,RB,1,CLE,20,25,5500,12.87
347,Melvin Gordon III,DEN,RB,1,TEN,17,16,5500,12.85
348,Darrell Henderson Jr.,LAR,RB,8,MIA,10,24,5900,12.84
348,Leonard Fournette,TB,RB,9,NO,21,4,5100,12.84
350,David Montgomery,CHI,RB,5,TB,5,9,5400,12.8
351,Clyde Edwards-Helaire,KC,RB,13,DEN,15,22,6100,12.77
351,J.K. Dobbins,BAL,RB,9,IND,2,3,4900,12.77
353,Todd Gurley II,ATL,RB,11,NO,12,1,5900,12.76
354,JaMycal Hasty,SF,RB,9,GB,18,32,4800,12.72
355,Myles Gaskin,MIA,RB,5,SF,2,1,4800,12.7
356,David Johnson,HOU,RB,15,IND,6,11,5100,12.68
357,Raheem Mostert,SF,RB,15,DAL,28,27,5800,12.65
358,Kenyan Drake,ARI,RB,6,DAL,31,22,5300,12.64
358,Wayne Gallman,NYG,RB,13,SEA,31,14,5600,12.64
360,Wayne Gallman,NYG,RB,12,CIN,24,22,5000,12.62
360,Jonathan Taylor,IND,RB,13,HOU,28,31,5700,12.62
362,J.K. Dobbins,BAL,RB,17,CIN,22,22,6700,12.58
362,Clyde Edwards-Helaire,KC,RB,14,MIA,6,11,5900,12.58
364,James White,NE,RB,1,MIA,32,28,6000,12.57
365,Kenyan Drake,ARI,RB,14,NYG,9,19,5500,12.53
366,Kareem Hunt,CLE,RB,13,TEN,22,26,5400,12.51
367,Jerick McKinnon,SF,RB,5,MIA,21,23,5800,12.5
368,Ronald Jones,TB,RB,12,KC,7,17,6100,12.46
369,Devin Singletary,BUF,RB,1,NYJ,13,9,5400,12.41
370,J.K. Dobbins,BAL,RB,16,NYG,11,18,6200,12.4
371,Raheem Mostert,SF,RB,1,ARI,31,21,5800,12.34
371,Joshua Kelley,LAC,RB,5,NO,25,15,5200,12.34
371,Giovani Bernard,CIN,RB,13,MIA,8,19,5200,12.34
374,Raheem Mostert,SF,RB,12,LAR,1,4,5600,12.33
375,Kenyan Drake,ARI,RB,13,LAR,1,5,5700,12.3
376,Phillip Lindsay,DEN,RB,6,NE,9,7,4300,12.27
377,Ronald Jones,TB,RB,11,LAR,1,4,5900,12.24
378,Kenyan Drake,ARI,RB,16,SF,8,7,5200,12.23
379,J.K. Dobbins,BAL,RB,13,DAL,31,27,5600,12.21
380,Nyheim Hines,IND,RB,15,HOU,29,31,5400,12.2
381,Ty Johnson,NYJ,RB,17,NE,9,20,4300,12.17
382,Jeff Wilson Jr.,SF,RB,16,ARI,15,15,5000,12.15
382,Jerick McKinnon,SF,RB,10,NO,16,3,5600,12.15
384,Brian Hill,ATL,RB,12,LV,23,29,4000,12.14
384,Nyheim Hines,IND,RB,2,MIN,32,23,5300,12.14
386,Ezekiel Elliott,DAL,RB,16,PHI,17,13,6700,12.13
387,David Montgomery,CHI,RB,3,ATL,32,20,5700,12.11
387,Antonio Gibson,WAS,RB,1,PHI,16,7,4000,12.11
389,Giovani Bernard,CIN,RB,14,DAL,31,28,5000,12.1
389,Nyheim Hines,IND,RB,17,JAX,31,29,4900,12.1
391,Miles Sanders,PHI,RB,14,NO,3,1,6200,12.06
391,Kareem Hunt,CLE,RB,15,NYG,10,21,5100,12.06
393,Mark Ingram II,BAL,RB,3,KC,11,21,5500,12.03
394,David Montgomery,CHI,RB,2,NYG,22,8,5600,12
394,Wayne Gallman,NYG,RB,15,CLE,23,10,5600,12
396,David Johnson,HOU,RB,13,IND,4,15,5400,11.98
397,J.D. McKissic,WAS,RB,11,CIN,25,16,5200,11.96
398,Kenyan Drake,ARI,RB,17,LAR,1,3,5400,11.89
398,Clyde Edwards-Helaire,KC,RB,15,NO,3,1,5800,11.89
398,James Conner,PIT,RB,2,DEN,14,9,6800,11.89
