Rank,Name,Team,Position,Week,Opponent,UpcomingOpponentRank,UpcomingOpponentPositionRank,DraftKingsSalary,FantasyPointsDraftKings
290,Gerald Everett,SEA,TE,14,HOU,27,25,3500,8.6
291,Hunter Henry,NE,TE,1,MIA,12,7,4700,8.58
291,Evan Engram,NYG,TE,8,KC,29,30,3900,8.58
293,Anthony Firkser,TEN,TE,1,ARI,15,6,3200,8.57
294,David Njoku,CLE,TE,15,LV,28,30,8400,8.56
294,Cole Kmet,CHI,TE,16,SEA,24,26,3300,8.56
296,Jared Cook,LAC,TE,13,CIN,8,18,3100,8.55
297,Mike Gesicki,MIA,TE,3,LV,12,6,3800,8.54
298,Tyler Conklin,MIN,TE,8,DAL,22,25,3200,8.53
299,Foster Moreau,LV,TE,14,KC,15,24,4000,8.5
299,Jared Cook,LAC,TE,12,DEN,5,2,3000,8.5
301,Austin Hooper,CLE,TE,4,MIN,29,18,3700,8.49
302,Austin Hooper,CLE,TE,12,BAL,22,28,3500,8.48
303,Evan Engram,NYG,TE,13,MIA,24,16,3500,8.47
304,Jonnu Smith,NE,TE,3,NO,6,11,4100,8.46
305,Hunter Henry,NE,TE,3,NO,6,11,3700,8.42
305,Zach Ertz,PHI,TE,4,KC,30,20,3500,8.42
305,Ricky Seals-Jones,WAS,TE,14,DAL,21,23,3600,8.42
308,Cameron Brate,TB,TE,4,NE,4,1,2700,8.41
309,Cole Kmet,CHI,TE,3,CLE,20,26,3200,8.4
310,Jared Cook,LAC,TE,18,LV,20,30,3800,8.35
311,Gerald Everett,SEA,TE,16,CHI,21,7,3700,8.33
312,Gerald Everett,SEA,TE,3,MIN,29,16,3000,8.32
312,Cole Kmet,CHI,TE,18,MIN,30,11,3400,8.32
314,Dan Arnold,JAX,TE,8,SEA,24,18,2800,8.3
315,Gerald Everett,SEA,TE,18,ARI,6,2,3700,8.29
315,Evan Engram,NYG,TE,7,CAR,6,17,3600,8.29
317,Tyler Conklin,MIN,TE,9,BAL,25,32,3000,8.26
318,Tyler Conklin,MIN,TE,18,CHI,17,8,4200,8.23
319,Gerald Everett,SEA,TE,13,SF,7,6,3800,8.21
320,Jared Cook,LAC,TE,15,KC,11,23,3500,8.2
321,Evan Engram,NYG,TE,11,TB,13,19,3700,8.19
322,Anthony Firkser,TEN,TE,5,JAX,29,28,3100,8.18
322,Zach Ertz,PHI,TE,2,SF,30,30,3700,8.18
324,C.J. Uzomah,CIN,TE,17,KC,15,20,3300,8.17
325,Zach Ertz,PHI,TE,5,CAR,5,16,3400,8.16
326,Cole Kmet,CHI,TE,15,MIN,31,10,3200,8.14
327,Dan Arnold,JAX,TE,6,MIA,30,19,3000,8.12
328,Cole Kmet,CHI,TE,14,GB,6,13,3600,8.09
329,Jonnu Smith,NE,TE,5,HOU,26,32,3300,8.08
330,Jonnu Smith,NE,TE,4,TB,31,21,3500,8.06
331,Tyler Conklin,MIN,TE,16,LAR,6,12,3900,8.05
332,Adam Trautman,NO,TE,2,CAR,9,13,3000,8.04
333,C.J. Uzomah,CIN,TE,11,LV,22,31,3500,8.03
334,Evan Engram,NYG,TE,16,PHI,11,31,3400,8
335,C.J. Uzomah,CIN,TE,5,GB,10,26,3000,7.96
336,Austin Hooper,CLE,TE,5,LAC,7,21,3200,7.94
337,Evan Engram,NYG,TE,4,NO,5,8,3000,7.93
338,David Njoku,CLE,TE,2,HOU,15,26,3600,7.92
338,Gerald Everett,SEA,TE,15,LAR,12,13,3600,7.92
340,Evan Engram,NYG,TE,14,LAC,20,29,3500,7.9
340,Evan Engram,NYG,TE,17,CHI,22,9,3500,7.9
342,Robert Tonyan,GB,TE,4,PIT,14,13,4500,7.88
342,Gerald Everett,SEA,TE,12,WAS,31,16,3600,7.88
344,C.J. Uzomah,CIN,TE,16,BAL,19,28,3000,7.86
345,O.J. Howard,TB,TE,7,CHI,9,5,3400,7.85
346,Evan Engram,NYG,TE,15,DAL,15,20,3100,7.84
347,Tyler Conklin,MIN,TE,2,ARI,3,4,3200,7.82
348,C.J. Uzomah,CIN,TE,12,PIT,17,11,3400,7.81
349,Hunter Henry,NE,TE,13,BUF,1,6,4300,7.79
350,Austin Hooper,CLE,TE,11,DET,29,10,3200,7.72
350,Maxx Williams,ARI,TE,5,SF,19,9,3400,7.72
352,C.J. Uzomah,CIN,TE,15,DEN,3,2,3100,7.7
353,C.J. Uzomah,CIN,TE,8,NYJ,28,26,3700,7.63
354,Cole Kmet,CHI,TE,9,PIT,11,11,3000,7.62
355,Adam Trautman,NO,TE,11,PHI,13,32,3300,7.61
356,David Njoku,CLE,TE,11,DET,29,10,2900,7.6
357,Tyler Conklin,MIN,TE,6,CAR,3,12,3200,7.59
358,Robert Tonyan,GB,TE,6,CHI,8,7,3800,7.56
358,Mike Gesicki,MIA,TE,2,BUF,7,10,4000,7.56
360,Cameron Brate,TB,TE,6,PHI,11,19,3500,7.54
361,Dawson Knox,BUF,TE,3,WAS,19,14,3400,7.53
362,David Njoku,CLE,TE,3,CHI,14,8,3500,7.52
363,Cole Kmet,CHI,TE,8,SF,14,9,3100,7.51
