Name,Team,Pos,Week,Opponent,Opponent Rank,Opponent Position Rank,Salary,Projection
 Robert Tonyan,GB,TE,3,TB,3,15,4800,6.27
 Tyler Higbee,LAR,TE,13,SEA,28,32,5300,6.27
 Evan Engram,JAX,TE,3,LAC,16,20,5200,6.24
 Juwan Johnson,NO,TE,12,SF,1,5,5500,6.22
 Dawson Knox,BUF,TE,14,NYJ,4,10,5000,6.22
 David Njoku,CLE,TE,3,PIT,18,8,4700,6.21
 Tyler Conklin,NYJ,TE,2,CLE,11,18,5100,6.21
 Hayden Hurst,CIN,TE,1,PIT,21,9,4900,6.2
 Evan Engram,JAX,TE,1,WAS,27,17,4900,6.2
 Trey McBride,ARI,TE,18,SF,1,5,5100,6.2
 Robert Tonyan,GB,TE,1,MIN,30,11,5100,6.19
 Juwan Johnson,NO,TE,17,PHI,5,6,5700,6.18
 Irv Smith Jr.,MIN,TE,4,NO,8,4,4900,6.18
 Evan Engram,JAX,TE,2,IND,13,29,4900,6.17
 Evan Engram,JAX,TE,13,DET,32,29,4800,6.17
 Juwan Johnson,NO,TE,16,CLE,18,9,5900,6.16
 Greg Dulcich,DEN,TE,13,BAL,16,15,5200,6.16
 Mike Gesicki,MIA,TE,12,HOU,21,20,5000,6.15
 Noah Fant,SEA,TE,18,LAR,16,17,5100,6.14
 Evan Engram,JAX,TE,14,TEN,22,16,5100,6.14
 Evan Engram,JAX,TE,4,PHI,7,14,5000,6.14
 David Njoku,CLE,TE,2,NYJ,14,16,4900,6.12
 Tyler Conklin,NYJ,TE,17,SEA,29,32,4900,6.11
 Tyler Higbee,LAR,TE,14,LV,29,27,5200,6.07
 Dawson Knox,BUF,TE,13,NE,6,28,5500,6.06
 Hunter Henry,NE,TE,3,BAL,31,25,4800,6.05
 Evan Engram,JAX,TE,5,HOU,23,20,4900,6.01
 Harrison Bryant,CLE,TE,13,HOU,21,21,4700,6
 Cade Otton,TB,TE,7,CAR,16,9,4900,5.99
 Tyler Conklin,NYJ,TE,11,NE,8,27,5000,5.98
 Harrison Bryant,CLE,TE,8,CIN,6,16,4800,5.97
 Gerald Everett,LAC,TE,17,LAR,14,15,5600,5.97
 Hunter Henry,NE,TE,17,MIA,28,30,4800,5.96
 Mo Alie-Cox,IND,TE,1,HOU,29,28,4800,5.95
 Robert Tonyan,GB,TE,10,DAL,5,4,5000,5.91
 Tyler Higbee,LAR,TE,15,GB,15,11,5300,5.9
 Tyler Higbee,LAR,TE,16,DEN,2,15,5400,5.9
 Taysom Hill,NO,TE,9,BAL,23,18,6500,5.88
 Hayden Hurst,CIN,TE,18,BAL,--,--,5300,5.88
 Tyler Conklin,NYJ,TE,15,DET,32,29,5000,5.87
 Cade Otton,TB,TE,17,CAR,17,12,5000,5.82
 Noah Fant,SEA,TE,12,LV,26,27,5100,5.81
 Robert Tonyan,GB,TE,11,TEN,19,18,5000,5.81
 Jelani Woods,IND,TE,17,NYG,22,26,4700,5.78
 Gerald Everett,LAC,TE,18,DEN,5,25,5500,5.78
 Juwan Johnson,NO,TE,11,LAR,9,5,5100,5.77
 Hayden Hurst,CIN,TE,17,BUF,2,1,5200,5.76
 Cade Otton,TB,TE,9,LAR,7,3,4800,5.73
 Chigoziem Okonkwo,TEN,TE,14,JAX,23,21,4800,5.7
 Foster Moreau,LV,TE,7,HOU,18,19,4600,5.69
 Logan Thomas,WAS,TE,12,ATL,29,19,5200,5.69
 Noah Fant,SEA,TE,14,CAR,15,9,5200,5.66
 Logan Thomas,WAS,TE,8,IND,11,24,5000,5.66
 Hayden Hurst,CIN,TE,4,MIA,25,26,4800,5.66
 Jordan Akins,HOU,TE,17,JAX,23,25,4900,5.65
 Juwan Johnson,NO,TE,15,ATL,29,24,5200,5.63
 Austin Hooper,TEN,TE,15,LAC,23,20,5000,5.6
 Juwan Johnson,NO,TE,10,PIT,31,6,4800,5.59
 Mike Gesicki,MIA,TE,9,CHI,10,9,5500,5.58
 Robert Tonyan,GB,TE,13,CHI,18,6,4900,5.57
 Mike Gesicki,MIA,TE,7,PIT,27,10,5300,5.56
 Noah Fant,SEA,TE,10,TB,12,24,5000,5.56
 Logan Thomas,WAS,TE,9,MIN,22,27,5000,5.56
 Jelani Woods,IND,TE,18,HOU,19,15,4600,5.53
 Noah Fant,SEA,TE,7,LAC,20,16,5000,5.51
 Isaiah Likely,BAL,TE,18,CIN,10,10,4800,5.49
 Cade Otton,TB,TE,10,SEA,23,32,5100,5.49
 Noah Fant,SEA,TE,13,LAR,12,17,5100,5.47
 Logan Thomas,WAS,TE,18,DAL,9,2,5200,5.47
 Austin Hooper,TEN,TE,14,JAX,23,21,4900,5.46
 Tyler Conklin,NYJ,TE,6,GB,7,7,4900,5.46
 Cameron Brate,TB,TE,2,NO,20,10,4900,5.44
 Daniel Bellinger,NYG,TE,7,JAX,15,11,5100,5.44
 Jordan Akins,HOU,TE,14,DAL,5,1,4700,5.43
 Noah Fant,SEA,TE,4,DET,30,23,4800,5.43
 Foster Moreau,LV,TE,8,NO,22,2,5000,5.42
 Juwan Johnson,NO,TE,7,ARI,16,30,4700,5.41
 Jelani Woods,IND,TE,16,LAC,24,19,4500,5.39
 Robert Tonyan,GB,TE,12,PHI,2,9,4900,5.39
 Cole Kmet,CHI,TE,4,NYG,12,9,4700,5.38
 Cade Otton,TB,TE,15,CIN,9,14,4600,5.38
 Noah Fant,SEA,TE,2,SF,6,1,5000,5.37
 Albert Okwuegbunam,DEN,TE,3,SF,1,1,5000,5.37
 Juwan Johnson,NO,TE,3,CAR,14,16,4800,5.36
 Hunter Henry,NE,TE,11,NYJ,5,13,4900,5.35
 Noah Fant,SEA,TE,9,ARI,26,31,4800,5.35
 Tyler Conklin,NYJ,TE,14,BUF,6,2,4900,5.35
 Hunter Henry,NE,TE,16,CIN,10,12,5000,5.33
 Daniel Bellinger,NYG,TE,16,MIN,31,22,4700,5.33
 Mike Gesicki,MIA,TE,10,CLE,18,11,5100,5.31
 Cole Kmet,CHI,TE,3,HOU,23,17,5000,5.31
 Chigoziem Okonkwo,TEN,TE,16,HOU,20,21,5400,5.29
 Cole Kmet,CHI,TE,6,WAS,23,9,4600,5.29
 Noah Fant,SEA,TE,6,ARI,21,31,4900,5.29
 Hunter Henry,NE,TE,9,IND,9,22,4700,5.28
 Jordan Akins,HOU,TE,18,IND,18,13,4700,5.28
 Logan Thomas,WAS,TE,13,NYG,13,28,5000,5.28
 Hunter Henry,NE,TE,13,BUF,8,3,5100,5.27
 Logan Thomas,WAS,TE,15,NYG,20,23,4800,5.27
